iter	RMSE
0	196.8406898
1	194.1068324
2	191.5517668
3	189.5029289
4	187.1531363
5	184.6266178
6	182.0022637
7	180.2102088
8	177.5410809
9	175.3257978
10	173.2474461
11	171.4954303
12	169.8351036
13	168.4862455
14	166.3871523
15	164.4194033
16	162.4724285
17	160.477673
18	158.6860879
19	156.8931493
20	155.476746
21	153.7641422
22	152.1697057
23	150.497935
24	149.1180547
25	147.4646431
26	146.0440098
27	144.4768014
28	142.9822828
29	141.5405619
30	140.3039075
31	139.4851454
32	138.4486529
33	137.1748014
34	136.6727143
35	135.0613221
36	133.7360696
37	132.7566584
38	131.1094359
39	130.2704706
40	129.0548618
41	127.6553127
42	126.4892788
43	125.3803711
44	124.7813438
45	123.5523822
46	122.697732
47	121.512801
48	120.6170394
49	119.9871176
50	119.1311386
51	118.2791295
52	117.3259159
53	116.6366136
54	115.5378752
55	114.7087136
56	113.7797
57	113.0213626
58	112.2766047
59	111.5175731
60	110.8250307
61	110.0918012
62	109.2420128
63	108.5997897
64	107.9125618
65	107.3170004
66	106.7201998
67	105.9308907
68	105.4895848
69	105.0078296
70	104.3723783
71	103.6822862
72	103.0708955
73	102.4980676
74	101.8610074
75	101.3279848
76	100.8519538
77	100.4563327
78	100.2504974
79	99.77383349
80	99.36178157
81	98.54922825
82	98.12463109
83	97.46202089
84	96.69860791
85	96.06664032
86	95.4951285
87	94.99847799
88	94.46407467
89	94.08256632
90	93.75358207
91	93.39668091
92	93.05599957
93	92.75315285
94	92.3940467
95	92.02025624
96	91.74297979
97	91.35958828
98	91.01973812
99	90.39587261
100	89.92737388
101	89.69626717
102	89.39315283
103	89.06053909
104	88.77612699
105	88.340527
106	88.05496374
107	87.81962361
108	87.22713173
109	87.07875399
110	86.54549956
111	85.94648332
112	85.64289545
113	85.35209562
114	84.91253417
115	84.64441509
116	84.29761603
117	84.04231783
118	83.79238496
119	83.44587742
120	83.05671974
121	82.58367153
122	82.42931014
123	82.03463436
124	81.82292573
125	81.56830319
126	81.38551725
127	81.12512554
128	80.74542931
129	80.46735281
130	80.27806258
131	79.88030651
132	79.61975731
133	79.33576414
134	79.16615036
135	78.69964907
136	78.28523339
137	77.75335616
138	77.39281348
139	77.08406979
140	76.81536156
141	76.63509057
142	76.32227303
143	76.06634779
144	75.91052038
145	75.69759432
146	75.30341735
147	75.0856667
148	74.78122582
149	74.47724755
150	74.22265897
151	73.90986902
152	73.77771384
153	73.61836185
154	73.26133167
155	73.10257032
156	72.68662683
157	72.51186935
158	72.35580194
159	71.99514068
160	71.83591579
161	71.64871107
162	71.29160244
163	71.13076022
164	70.87514835
165	70.58442652
166	70.36781582
167	70.30232052
168	70.08290475
169	69.89377361
170	69.4719725
171	69.28111763
172	69.07023465
173	68.97752351
174	68.70023225
175	68.39537322
176	68.2433489
177	67.98184559
178	67.71479078
179	67.55237813
180	67.38076901
181	67.23218554
182	66.97731598
183	66.67686166
184	66.46704089
185	66.34120611
186	66.16817037
187	66.00166401
188	65.79733033
189	65.50648909
190	65.29233205
191	65.0543196
192	64.85593313
193	64.63229266
194	64.40679109
195	64.12938539
196	63.99914152
197	63.77458141
198	63.64076287
199	63.41705445
200	63.30064206
201	63.03806833
202	62.8387214
203	62.45958627
204	62.28857814
205	62.18240395
206	61.94764406
207	61.78551634
208	61.59934056
209	61.31409532
210	61.21501213
211	60.99003704
212	60.69932055
213	60.59326717
214	60.42344209
215	60.3463123
216	60.15394257
217	59.99312719
218	59.88670071
219	59.6778404
220	59.414828
221	59.17571619
222	58.92557573
223	58.7703194
224	58.66112492
225	58.49315431
226	58.26301013
227	58.01209974
228	57.9056535
229	57.71379885
230	57.48936959
231	57.31625349
232	57.19415221
233	57.13178276
234	57.03838664
235	56.94515694
236	56.73767494
237	56.62977628
238	56.51215051
239	56.44543726
240	56.23108446
241	56.09403563
242	55.86075882
243	55.79742021
244	55.70936612
245	55.60570526
246	55.34237862
247	55.09584163
248	54.83433712
249	54.65612787
250	54.5365369
251	54.41946815
252	54.21106202
253	53.98444484
254	53.73062415
255	53.65569493
256	53.57285113
257	53.44240966
258	53.29001708
259	53.10423724
260	52.94299134
261	52.77097071
262	52.65093834
263	52.46356146
264	52.3229124
265	52.20585151
266	52.10620252
267	51.93654684
268	51.78593574
269	51.71208657
270	51.61364683
271	51.48700614
272	51.42242539
273	51.2803502
274	51.16856253
275	51.04776837
276	50.97733949
277	50.93021807
278	50.79528256
279	50.72922165
280	50.65482065
281	50.53991367
282	50.4857071
283	50.35168965
284	50.25564721
285	50.15831108
286	50.07715367
287	49.9461972
288	49.82610695
289	49.7147682
290	49.64282837
291	49.48354021
292	49.39855045
293	49.34405239
294	49.28999642
295	49.23237889
296	49.12978312
297	48.94136756
298	48.89616005
299	48.80934939
300	48.7586827
301	48.72876437
302	48.56835962
303	48.47411307
304	48.35519444
305	48.32200002
306	48.26204306
307	48.20578085
308	48.15867723
309	48.11990351
310	48.07732389
311	47.89713752
312	47.80968
313	47.77684017
314	47.72958173
315	47.70296791
316	47.54294568
317	47.4273539
318	47.35822211
319	47.28428971
320	47.24542653
321	47.12404466
322	47.07876036
323	47.0390448
324	46.91399627
325	46.85211241
326	46.73489934
327	46.62218859
328	46.57814039
329	46.50173584
330	46.46240466
331	46.41859236
332	46.33563261
333	46.31188741
334	46.19976879
335	46.17273803
336	46.13597156
337	46.10050652
338	46.06652768
339	46.03257293
340	45.93498979
341	45.90219502
342	45.86320494
343	45.72977492
344	45.69799265
345	45.66697952
346	45.6367166
347	45.56358419
348	45.53238313
349	45.4940922
350	45.46682321
351	45.40582565
352	45.31577345
353	45.19612984
354	45.12633879
355	45.09457798
356	45.02082827
357	44.99345454
358	44.94346622
359	44.89943846
360	44.87277241
361	44.84674753
362	44.74145209
363	44.68419381
364	44.57729243
365	44.53523321
366	44.44975249
367	44.40889436
368	44.36892359
369	44.34392284
370	44.30462489
371	44.28404687
372	44.25985734
373	44.18444371
374	44.11623043
375	44.04748401
376	44.02387255
377	43.94453234
378	43.92127015
379	43.8421127
380	43.81530302
381	43.71247204
382	43.68441158
383	43.6620131
384	43.60878568
385	43.51512316
386	43.4948989
387	43.47264617
388	43.43486762
389	43.36089979
390	43.33611092
391	43.30835679
392	43.27507539
393	43.19194097
394	43.17098425
395	43.10819082
396	43.06709136
397	43.04092386
398	42.91372377
399	42.83793405
400	42.72710696
401	42.64589581
402	42.58694777
403	42.48025718
404	42.40168149
405	42.32762065
406	42.28220407
407	42.25792563
408	42.23477584
409	42.1756256
410	42.14490096
411	42.10010407
412	42.02776749
413	42.00463708
414	41.97424658
415	41.95151432
416	41.92056745
417	41.85150664
418	41.79453366
419	41.75293977
420	41.66969982
421	41.60020913
422	41.52738208
423	41.50840965
424	41.45457092
425	41.43373938
426	41.36120501
427	41.32263409
428	41.23752975
429	41.17434173
430	41.13745866
431	41.10180163
432	41.07474204
433	41.05178987
434	41.02865179
435	40.9942843
436	40.96233501
437	40.93854223
438	40.85810989
439	40.83608361
440	40.77767858
441	40.75863288
442	40.68298449
443	40.6346577
444	40.56440129
445	40.50796513
446	40.49080364
447	40.47575064
448	40.43649663
449	40.37010288
450	40.3305649
451	40.31599638
452	40.28987386
453	40.26605281
454	40.25208162
455	40.22454933
456	40.17736393
457	40.16156308
458	40.13688105
459	40.11965811
460	40.07785951
461	40.0645361
462	40.00559274
463	39.96632739
464	39.9420773
465	39.87180209
466	39.81738242
467	39.78713029
468	39.76465686
469	39.75180442
470	39.72769127
471	39.66388941
472	39.64140381
473	39.62249251
474	39.6101672
475	39.58869051
476	39.55379749
477	39.53485802
478	39.50118868
479	39.43794476
480	39.42602341
481	39.38757036
482	39.37599682
483	39.342678
484	39.32220042
485	39.31098574
486	39.2648145
487	39.25386779
488	39.21503379
489	39.19291831
490	39.12614737
491	39.11707323
492	39.05492963
493	38.99865892
494	38.94203115
495	38.92497547
496	38.90289449
497	38.88318234
498	38.84346167
499	38.81966806
500	38.80029241
501	38.77424482
502	38.71673075
503	38.67300462
504	38.61237637
505	38.59101905
506	38.56839534
507	38.51363328
508	38.48971615
509	38.46099847
510	38.44175502
511	38.40409586
512	38.39165337
513	38.33834778
514	38.29308856
515	38.27433425
516	38.22187807
517	38.19617327
518	38.16350922
519	38.12051856
520	38.10257724
521	38.08146299
522	38.05414427
523	38.02231716
524	38.00974441
525	37.99997585
526	37.98782719
527	37.97401524
528	37.96194517
529	37.94571577
530	37.92097755
531	37.91175031
532	37.86536786
533	37.85564489
534	37.84224312
535	37.82682604
536	37.77614793
537	37.7326151
538	37.69739874
539	37.65326749
540	37.64436759
541	37.62070054
542	37.5840753
543	37.54912246
544	37.53071055
545	37.49711259
546	37.4652859
547	37.45311673
548	37.43781528
549	37.40676037
550	37.38938635
551	37.36245556
552	37.34098048
553	37.33300029
554	37.31462705
555	37.29902077
556	37.28800628
557	37.2692227
558	37.23826616
559	37.20817945
560	37.18487832
561	37.16957509
562	37.15766255
563	37.13499479
564	37.10591934
