iter	Passed	Remaining
0	165	165829
1	173	86582
2	174	58110
3	176	43864
4	177	35333
5	178	29633
6	180	25560
7	182	22603
8	183	20199
9	184	18268
10	185	16693
11	186	15384
12	187	14268
13	188	13308
14	190	12486
15	191	11760
16	192	11124
17	194	10591
18	195	10085
19	196	9620
20	198	9254
21	199	8878
22	200	8532
23	201	8211
24	203	7920
25	204	7645
26	205	7398
27	207	7192
28	208	6987
29	210	6795
30	211	6602
31	211	6409
32	212	6238
33	213	6080
34	215	5929
35	216	5797
36	219	5722
37	222	5643
38	239	5909
39	241	5788
40	242	5672
41	243	5561
42	245	5455
43	246	5364
44	248	5269
45	250	5188
46	258	5236
47	259	5146
48	260	5062
49	262	4982
50	263	4904
51	264	4825
52	265	4747
53	266	4671
54	269	4622
55	271	4573
56	272	4514
57	274	4455
58	276	4412
59	278	4364
60	279	4305
61	280	4247
62	282	4195
63	283	4140
64	284	4085
65	284	4032
66	285	3981
67	286	3931
68	288	3893
69	291	3869
70	292	3830
71	293	3785
72	294	3741
73	295	3698
74	296	3656
75	297	3615
76	298	3575
77	299	3536
78	299	3495
79	300	3458
80	301	3422
81	302	3387
82	303	3354
83	304	3321
84	307	3305
85	308	3280
86	309	3249
87	310	3218
88	311	3188
89	312	3158
90	313	3130
91	314	3101
92	315	3073
93	316	3049
94	317	3025
95	318	3001
96	319	2976
97	320	2952
98	321	2928
99	324	2924
100	326	2901
101	327	2880
102	328	2857
103	329	2835
104	330	2817
105	331	2796
106	332	2775
107	333	2753
108	334	2732
109	335	2712
110	336	2693
111	337	2673
112	338	2654
113	339	2635
114	340	2616
115	342	2611
116	343	2594
117	344	2576
118	345	2558
119	346	2541
120	347	2524
121	348	2507
122	349	2490
123	350	2474
124	351	2457
125	352	2442
126	352	2426
127	353	2411
128	354	2395
129	355	2380
130	356	2366
131	357	2351
132	358	2337
133	361	2334
134	362	2324
135	363	2312
136	365	2300
137	366	2287
138	367	2273
139	368	2260
140	369	2248
141	369	2234
142	370	2221
143	372	2215
144	373	2205
145	375	2194
146	376	2183
147	380	2188
148	381	2177
149	382	2165
150	383	2154
151	384	2142
152	384	2131
153	386	2120
154	387	2110
155	388	2101
156	389	2093
157	391	2084
158	392	2074
159	393	2065
160	394	2055
161	396	2049
162	399	2051
163	401	2044
164	402	2035
165	403	2027
166	404	2017
167	405	2010
168	407	2003
169	408	1996
170	410	1989
171	411	1982
172	413	1976
173	415	1973
174	416	1964
175	417	1956
176	420	1956
177	422	1952
178	423	1944
179	424	1935
180	425	1927
181	426	1918
182	427	1909
183	428	1901
184	429	1892
185	430	1884
186	432	1880
187	433	1872
188	435	1869
189	437	1865
190	438	1858
191	439	1850
192	440	1843
193	442	1836
194	443	1828
195	444	1821
196	445	1814
197	446	1806
198	446	1798
199	447	1791
200	448	1784
201	451	1783
202	453	1780
203	454	1773
204	455	1767
205	456	1761
206	457	1754
207	458	1747
208	459	1740
209	460	1733
210	461	1726
211	462	1719
212	463	1712
213	464	1706
214	465	1699
215	466	1693
216	467	1686
217	470	1688
218	471	1682
219	472	1676
220	474	1670
221	475	1664
222	476	1659
223	477	1653
224	478	1647
225	479	1641
226	480	1635
227	481	1629
228	482	1624
229	483	1618
230	484	1612
231	485	1606
232	487	1603
233	488	1600
234	489	1594
235	490	1589
236	491	1583
237	492	1577
238	493	1572
239	494	1566
240	495	1560
241	497	1556
242	498	1551
243	499	1546
244	500	1540
245	500	1535
246	501	1530
247	502	1524
248	503	1519
249	507	1521
250	508	1516
251	509	1512
252	510	1507
253	511	1503
254	512	1498
255	514	1493
256	515	1489
257	516	1484
258	517	1480
259	518	1475
260	519	1471
261	520	1466
262	521	1461
263	523	1460
264	525	1457
265	526	1452
266	527	1448
267	528	1444
268	529	1439
269	530	1434
270	531	1430
271	532	1426
272	533	1421
273	534	1417
274	535	1412
275	536	1408
276	538	1406
277	543	1411
278	544	1407
279	545	1402
280	546	1398
281	547	1394
282	548	1390
283	549	1385
284	550	1381
285	552	1378
286	553	1375
287	554	1371
288	555	1366
289	556	1362
290	557	1358
291	558	1353
292	561	1354
293	562	1351
294	563	1346
295	564	1343
296	566	1339
297	568	1338
298	569	1334
299	570	1330
300	571	1327
301	572	1323
302	573	1320
303	574	1316
304	576	1312
305	580	1317
306	582	1313
307	583	1310
308	585	1308
309	586	1304
310	587	1300
311	588	1297
312	589	1293
313	590	1289
314	591	1285
315	592	1282
316	593	1279
317	594	1275
318	598	1276
319	599	1273
320	600	1270
321	602	1267
322	603	1264
323	604	1260
324	605	1257
325	606	1253
326	608	1251
327	609	1248
328	610	1244
329	611	1240
330	612	1237
331	613	1233
332	615	1233
333	617	1230
334	618	1227
335	619	1224
336	620	1221
337	621	1217
338	622	1214
339	623	1210
340	624	1207
341	625	1203
342	626	1200
343	627	1196
344	628	1193
345	629	1189
346	630	1186
347	633	1186
348	634	1184
349	636	1181
350	637	1178
351	638	1174
352	639	1171
353	640	1168
354	641	1165
355	642	1162
356	643	1158
357	644	1155
358	645	1152
359	646	1148
360	647	1145
361	648	1142
362	649	1139
363	652	1140
364	653	1137
365	655	1134
366	656	1131
367	656	1128
368	657	1125
369	658	1121
370	659	1118
371	660	1115
372	661	1112
373	662	1109
374	663	1105
375	664	1103
376	665	1100
377	667	1097
378	670	1098
379	671	1096
380	672	1093
381	674	1090
382	675	1087
383	676	1085
384	677	1082
385	678	1079
386	679	1076
387	680	1074
388	681	1071
389	682	1068
390	683	1065
391	684	1062
392	685	1059
393	689	1060
394	690	1057
395	691	1054
396	692	1051
397	693	1049
398	695	1046
399	696	1044
400	697	1041
401	698	1038
402	699	1036
403	700	1033
404	701	1031
405	702	1028
406	703	1025
407	706	1025
408	708	1023
409	709	1021
410	712	1020
411	713	1018
412	715	1017
413	717	1015
414	719	1014
415	721	1013
416	724	1012
417	726	1011
418	727	1008
419	731	1009
420	732	1007
421	733	1004
422	734	1002
423	735	999
424	737	997
425	739	995
426	745	1000
427	746	998
428	748	995
429	749	993
430	750	991
431	751	988
432	752	985
433	753	983
434	757	983
435	760	983
436	761	981
437	762	978
438	763	976
439	765	974
440	766	972
441	768	970
442	771	970
443	773	968
444	774	965
445	776	964
446	780	966
447	782	964
448	783	961
449	784	959
450	785	956
451	786	954
452	788	951
453	789	949
454	790	946
455	791	944
456	792	941
457	793	938
458	794	936
459	795	933
460	797	932
461	799	931
462	800	928
463	802	926
464	803	924
465	804	922
466	806	920
467	807	918
468	809	915
469	810	913
470	811	911
471	812	908
472	814	907
473	817	906
474	818	904
475	819	902
476	820	900
477	822	897
478	823	895
479	823	892
480	825	890
481	826	888
482	827	885
483	828	883
484	829	880
485	830	878
486	832	877
487	834	875
488	836	873
489	837	871
490	838	869
491	840	867
492	841	865
493	842	862
494	843	860
495	844	858
496	845	855
497	846	853
498	847	851
499	848	848
500	850	847
501	852	846
502	854	844
503	855	841
504	856	839
505	857	837
506	859	835
507	860	833
508	861	830
509	862	828
510	863	826
511	864	823
512	865	821
513	866	819
514	872	821
515	873	819
516	875	818
517	877	816
518	878	813
519	879	811
520	880	809
521	881	807
522	882	804
523	883	802
524	884	800
525	885	798
526	888	797
527	890	796
528	891	793
529	893	792
530	894	790
531	895	787
532	896	785
533	897	783
534	898	781
535	899	778
536	900	776
537	901	774
538	902	772
539	904	770
540	907	769
541	909	768
542	911	767
543	912	764
544	913	762
545	914	760
546	915	758
547	916	756
548	917	753
549	918	751
550	919	749
551	920	747
552	922	745
553	926	745
554	927	743
555	929	742
556	930	740
557	931	738
558	932	735
559	933	733
560	934	731
561	936	729
562	937	727
563	937	725
564	938	722
565	939	720
566	941	719
567	942	717
568	943	714
569	945	712
570	947	711
571	949	710
572	950	708
573	951	705
574	952	703
575	953	701
576	954	699
577	955	697
578	956	695
579	957	693
580	958	690
581	961	690
582	962	688
583	964	686
584	965	685
585	966	682
586	967	680
587	968	678
588	969	676
589	970	674
590	971	672
591	972	670
592	973	668
593	974	665
594	975	664
595	976	661
596	980	662
597	982	660
598	983	658
599	984	656
600	985	654
601	986	652
602	987	650
603	988	648
604	989	646
605	990	643
606	991	641
607	992	639
608	993	637
609	994	635
610	995	634
611	998	632
612	999	631
613	1000	629
614	1001	627
615	1002	625
616	1003	623
617	1004	621
618	1005	619
619	1007	617
620	1008	615
621	1009	613
622	1010	611
623	1011	609
624	1012	607
625	1013	605
626	1016	604
627	1018	603
628	1019	601
629	1021	599
630	1022	597
631	1023	596
632	1024	594
633	1025	592
634	1026	590
635	1027	588
636	1028	586
637	1029	584
638	1030	582
639	1031	580
640	1033	578
641	1035	577
642	1036	575
643	1037	573
644	1038	571
645	1039	569
646	1040	567
647	1041	566
648	1043	564
649	1044	562
650	1045	560
651	1046	558
652	1047	556
653	1048	554
654	1049	552
655	1053	552
656	1055	550
657	1056	548
658	1057	547
659	1058	545
660	1060	543
661	1061	541
662	1062	540
663	1064	538
664	1065	536
665	1066	535
666	1067	533
667	1069	531
668	1072	530
669	1073	528
670	1074	526
671	1076	525
672	1077	523
673	1078	521
674	1079	519
675	1080	518
676	1081	516
677	1083	514
678	1083	512
679	1084	510
680	1086	508
681	1088	507
682	1090	506
683	1092	504
684	1093	502
685	1094	500
686	1095	499
687	1096	497
688	1097	495
689	1099	493
690	1100	491
691	1101	490
692	1103	488
693	1105	487
694	1107	485
695	1108	484
696	1109	482
697	1110	480
698	1111	478
699	1112	476
700	1114	475
701	1118	474
702	1119	472
703	1120	471
704	1121	469
705	1122	467
706	1124	465
707	1125	464
708	1126	462
709	1127	460
710	1128	458
711	1129	456
712	1130	455
713	1131	453
714	1132	451
715	1133	449
716	1134	447
717	1135	445
718	1136	444
719	1137	442
720	1138	440
721	1139	438
722	1142	437
723	1143	435
724	1144	434
725	1145	432
726	1146	430
727	1147	428
728	1148	427
729	1149	425
730	1150	423
731	1151	421
732	1152	419
733	1153	417
734	1154	416
735	1155	414
736	1156	412
737	1157	410
738	1159	409
739	1161	407
740	1162	406
741	1163	404
742	1164	402
743	1165	401
744	1166	399
745	1167	397
746	1168	395
747	1170	394
748	1171	392
749	1172	390
750	1172	388
751	1173	387
752	1174	385
753	1175	383
754	1178	382
755	1180	381
756	1182	379
757	1183	377
758	1184	376
759	1185	374
760	1186	372
761	1187	370
762	1188	369
763	1189	367
764	1190	365
765	1192	364
766	1193	362
767	1194	360
768	1197	359
769	1198	357
770	1199	356
771	1200	354
772	1201	352
773	1203	351
774	1204	349
775	1205	347
776	1206	346
777	1207	344
778	1207	342
779	1208	340
780	1210	339
781	1211	337
782	1212	336
783	1215	334
784	1216	333
785	1217	331
786	1218	329
787	1219	328
788	1220	326
789	1221	324
790	1222	322
791	1223	321
792	1224	319
793	1225	317
794	1226	316
795	1227	314
796	1228	312
797	1229	311
798	1230	309
799	1232	308
800	1233	306
801	1234	304
802	1235	303
803	1236	301
804	1237	299
805	1238	298
806	1239	296
807	1240	294
808	1241	293
809	1242	291
810	1243	289
811	1244	288
812	1245	286
813	1246	284
814	1247	283
815	1248	281
816	1250	280
817	1251	278
818	1252	276
819	1253	275
820	1254	273
821	1256	271
822	1256	270
823	1257	268
824	1258	267
825	1259	265
826	1260	263
827	1261	262
828	1262	260
829	1263	258
830	1264	257
831	1265	255
832	1266	253
833	1268	252
834	1269	250
835	1270	249
836	1271	247
837	1272	245
838	1273	244
839	1274	242
840	1274	241
841	1275	239
842	1276	237
843	1277	236
844	1278	234
845	1280	233
846	1281	231
847	1282	229
848	1284	228
849	1285	226
850	1286	225
851	1287	223
852	1288	222
853	1289	220
854	1290	218
855	1292	217
856	1294	215
857	1295	214
858	1296	212
859	1297	211
860	1298	209
861	1299	208
862	1300	206
863	1301	204
864	1303	203
865	1304	201
866	1305	200
867	1306	198
868	1307	197
869	1308	195
870	1309	193
871	1310	192
872	1311	190
873	1312	189
874	1313	187
875	1314	186
876	1315	184
877	1316	182
878	1317	181
879	1318	179
880	1319	178
881	1322	176
882	1323	175
883	1325	173
884	1326	172
885	1327	170
886	1328	169
887	1329	167
888	1330	166
889	1331	164
890	1332	163
891	1333	161
892	1334	159
893	1335	158
894	1336	156
895	1337	155
896	1338	153
897	1340	152
898	1342	150
899	1343	149
900	1344	147
901	1345	146
902	1347	144
903	1348	143
904	1349	141
905	1350	140
906	1351	138
907	1352	137
908	1353	135
909	1354	133
910	1355	132
911	1356	130
912	1358	129
913	1361	128
914	1362	126
915	1363	125
916	1364	123
917	1365	121
918	1366	120
919	1367	118
920	1369	117
921	1370	115
922	1371	114
923	1373	112
924	1375	111
925	1377	110
926	1378	108
927	1379	107
928	1381	105
929	1382	104
930	1383	102
931	1384	101
932	1385	99
933	1386	97
934	1387	96
935	1389	94
936	1391	93
937	1394	92
938	1396	90
939	1397	89
940	1401	87
941	1402	86
942	1408	85
943	1410	83
944	1411	82
945	1413	80
946	1414	79
947	1415	77
948	1420	76
949	1421	74
950	1423	73
951	1424	71
952	1426	70
953	1427	68
954	1429	67
955	1431	65
956	1434	64
957	1435	62
958	1436	61
959	1437	59
960	1440	58
961	1441	56
962	1443	55
963	1445	53
964	1447	52
965	1450	51
966	1452	49
967	1453	48
968	1455	46
969	1456	45
970	1457	43
971	1460	42
972	1462	40
973	1463	39
974	1465	37
975	1471	36
976	1473	34
977	1474	33
978	1476	31
979	1479	30
980	1480	28
981	1481	27
982	1482	25
983	1483	24
984	1485	22
985	1487	21
986	1488	19
987	1491	18
988	1492	16
989	1493	15
990	1495	13
991	1496	12
992	1497	10
993	1498	9
994	1499	7
995	1500	6
996	1501	4
997	1503	3
998	1505	1
999	1506	0
